tel,cellID,baseID,connectionStatus,categories,latitiude,longitude
+254700005006,100001,100,1,Public,-1.2762016717938087, 36.825864631262164
+254700005007,100001,100,1,Public,-1.2761924030622325, 36.82544743488011
+254700005008,100001,100,1,Public,-1.2759792222266537, 36.825540145187226
+254700005009,100001,100,1,Public,-1.2767948705454915, 36.82568848167863
+254700005010,100001,100,1,Public,-1.2746815993682987, 36.827422164421826
+254700005011,100001,100,1,Public,-1.2768319454629289, 36.82555868724865
+254700005012,100001,100,1,Public,-1.2764704649951306, 36.825864631262164
+254700005013,100001,100,1,Public,-1.276312896570179, 36.82637453795134
+254700005014,100001,100,1,Public,-1.2757104289740104, 36.82532691148085
+254700005015,100001,100,1,Public,-1.2755157855666361, 36.824668668300276
+254700005016,100002,100,1,Public,-1.29159504104458, 36.836543303892
+254700005017,100002,100,1,Public,-1.2887311680780698, 36.833603603047564
+254700005018,100002,100,1,Public,-1.289095856200453, 36.83392546810353
+254700005019,100002,100,1,Public,-1.2871115231391201, 36.83365724722356
+254700005020,100002,100,1,Public,-1.2887847986875811, 36.83380745091634
+254700005021,100002,100,1,Public,-1.2898681367577531, 36.83277748273727
+254700005022,100002,100,1,Public,-1.2890207733559942, 36.83303497478204
+254700005023,100002,100,1,Public,-1.2888491554174988, 36.833732349069955
+254700005024,100002,100,1,Public,-1.287937434925351, 36.833013517111645
+254700005025,100002,100,1,Public,-1.2890529517181797, 36.83273456739648
+254700005026,100002,100,1,Public,-1.289095856200453, 36.832219583306944
+254700005027,100003,100,1,Public,-1.2887596700336383, 36.817787614625864
+254700005028,100003,100,1,Public,-1.2890110380078614, 36.819534402397856
+254700005029,100003,100,1,Public,-1.2889051988638427, 36.8184889763828
+254700005030,100003,100,1,Public,-1.2914850267451599, 36.81949470267577
+254700005031,100003,100,1,Public,-1.2907262259909584, 36.81997539693866
+254700005032,100003,100,1,Public,-1.2894390920326235, 36.82111265346971
+254700005033,100003,100,1,Public,-1.28619980202553, 36.81938531100273
+254700005034,100003,100,1,Public,-1.287014987977821, 36.817561409018964
+254700005035,100003,100,1,Public,-1.2873474979625024, 36.817164442116606
+254700005036,100003,100,1,Public,-1.2871329753967002, 36.81837680049406
+254700005037,100003,100,1,Public,-1.2873474979625024, 36.819556972365916
+254700005038,100003,100,1,Public,-1.2894069136753237, 36.820243617818626
+254700005039,100003,100,1,Public,-1.2876478295242881, 36.817293188139
+254700005040,100003,100,1,Public,-1.2873796763458194, 36.81748630717257
+254700005041,100003,100,1,Public,-1.2897608755832581, 36.81605937209115
+254700005042,100003,100,1,Public,-1.2878730781724061, 36.81776525688774
+254700005043,100003,100,1,Public,-1.2873045934507898, 36.81856991952763
+254700005044,100003,100,1,Public,-1.2878301736695354, 36.81772234154694
+254700005045,100003,100,1,Public,-1.28842011052067, 36.819363853332334
+254700005046,100003,100,1,Public,-1.287476211493315, 36.81836607165886
+254700005047,100003,100,1,Public,-1.2881948619208965, 36.81785108756933
+254700005048,100003,100,1,Public,-1.2880983268006267, 36.819020530605975
+254700005049,100003,100,1,Public,-1.2892031174029879, 36.81843044467006
+254700005050,101001,101,1,Public,-1.255858886847923, 36.802696420097035
+254700005051,101001,101,1,Public,-1.2558481605892136, 36.802964640977
+254700005052,101001,101,1,Public,-1.2556336354057513, 36.804423762564014 
+254700005053,101001,101,1,Public,-1.2547433557062255, 36.80563612094146
+254700005054,101001,101,1,Public,-1.2519759783209579, 36.805496646083874
+254700005055,101001,101,1,Public,-1.2530057004803228, 36.800432635870116
+254700005056,101001,101,1,Public,-1.252576649629763, 36.800797416266875
+254700005057,101001,101,1,Public,-1.252061788516354, 36.801548434730776
+254700005058,101001,101,1,Public,-1.25268391234899, 36.801183654334025
+254700005059,101001,101,1,Public,-1.2543464839352951, 36.801044179476435
+254700005060,101001,101,1,Public,-1.253112963181993, 36.80173082492915
+254700005061,101001,101,1,Public,-1.2546039142800538, 36.80234236853548
+254700005062,101001,101,1,Public,-1.2551831324631528, 36.80357618458332
+254700005063,101001,101,1,Public,-1.2538208969027835, 36.80462761043279
+254700005064,101001,101,1,Public,-1.2527160911639081, 36.80472416994957
+254700005065,101001,101,1,Public,-1.2525981021739494, 36.802245809018686
+254700005066,101001,101,1,Public,-1.2532845834955104, 36.80169863842355
+254700005067,101001,101,1,Public,-1.2526731860772657, 36.80346889623134
+254700005068,101001,101,1,Public,-1.2536170978209622, 36.80336160787934
+254700005069,101002,101,1,Public,-1.264395763808181, 36.80908673416128
+254700005070,101002,101,1,Public,-1.2638058214467482, 36.81010597350515
+254700005071,101002,101,1,Public,-1.2644922998181922, 36.81158655276257
+254700005072,101002,101,1,Public,-1.2662084949522996, 36.80961244708602
+254700005073,101002,101,1,Public,-1.264663919382689, 36.81007378699956
+254700005074,101002,101,1,Public,-1.2660583279234017, 36.81122177236582
+254700005075,101002,101,1,Public,-1.2653718499662694, 36.811071568673036
+254700005076,101002,101,1,Public,-1.2659510657545887, 36.81029909253873
+254700005077,101002,101,1,Public,-1.2651036944649143, 36.81029909253873
+254700005078,101002,101,1,Public,-1.2667662581263333, 36.8105029404075
+254700005079,101002,101,1,Public,-1.2666268173440713, 36.81138270489379
+254700005080,101002,101,1,Public,-1.2659832444057084, 36.81079261895787
+254700005081,101002,101,1,Public,-1.2661012327896952, 36.809065276490884
+254700005082,101002,101,1,Public,-1.2656292792214974, 36.81002014282357
+254700005083,101002,101,1,Public,-1.2641812393286265, 36.8097411931084
+254700005084,101002,101,1,Public,-1.2654898383780924, 36.809076005326084
+254700005085,101002,101,1,Public,-1.2661870425201325, 36.809537345239626
+254700005086,101002,101,1,Public,-1.2660797803566501, 36.810642415265086
+254700005087,101002,101,1,Public,-1.2662299473843013, 36.811361247223395
+254700005088,101002,101,1,Public,-1.2649320749295005, 36.81094282265065
+254700005089,101002,101,1,Public,-1.2659725181887025, 36.81038492322032
+254700005090,101003,101,1,Public,-1.2636342018255358, 36.79810855034644
+254700005091,101003,101,1,Public,-1.2632802363209665, 36.7944392887085
+254700005092,101003,101,1,Public,-1.2651680517877637, 36.79325911683665
+254700005093,101003,101,1,Public,-1.2639559886060108, 36.79908487434952
+254700005094,101003,101,1,Public,-1.2656185530030284, 36.799728604461436
+254700005095,101003,101,1,Public,-1.2668091629808969, 36.792658302065526
+254700005096,101003,101,1,Public,-1.2663157571104766, 36.797432633728924
+254700005097,101003,101,1,Public,-1.267302568757351, 36.792990895956684
+254700005098,101003,101,1,Public,-1.2668198891944298, 36.79361316839821
+254700005099,101003,101,1,Public,-1.2672703901226174, 36.79467532308287
+254700005100,101003,101,1,Public,-1.2673240211802692, 36.79513666299641
+254700005101,101003,101,1,Public,-1.2681713917438993, 36.796391936714656
+254700005102,101003,101,1,Public,-1.2664122930490396, 36.79690692080419
+254700005103,101003,101,1,Public,-1.266980782392053, 36.79504010347962
+254700005104,101003,101,1,Public,-1.265479112159051, 36.79438564453251
+254700005105,101003,101,1,Public,-1.2657901724930365, 36.79698202265058
+254700005106,101003,101,1,Public,-1.2657579938395251, 36.79529759552439
+254700005107,101003,101,1,Public,-1.2664230192642136, 36.79594132563631
+254700005108,101003,101,1,Public,-1.265007158477638, 36.796306106033065
+254700005109,101003,101,1,Public,-1.2653718499662694, 36.79676744594661
+254700005110,101003,101,1,Public,-1.2651465993469961, 36.796005698647505
+254700005111,101003,101,1,Public,-1.2656400054399026, 36.795984240977106
+254700005112,101003,101,1,Public,-1.2659188871030747, 36.79652068273704
+254700005113,102001,102,1,Public,-1.3172684907210321, 36.849332084583864
+254700005114,102001,102,1,Public,-1.3172470387199446, 36.85099505403965
+254700005115,102001,102,1,Public,-1.3142115787047912, 36.85093068102846
+254700005116,102001,102,1,Public,-1.3140828665377497, 36.84607051868347
+254700005117,102001,102,1,Public,-1.3151554677270376, 36.85166024182197
+254700005118,102001,102,1,Public,-1.3168716286709328, 36.84528731371397
+254700005119,102001,102,1,Public,-1.3184590764920043, 36.84538387323076
+254700005120,102001,102,1,Public,-1.3192206220469704, 36.84839867592158
+254700005121,102001,102,1,Public,-1.3176975307040946, 36.85244344679147
+254700005122,102001,102,1,Public,-1.31731139472266, 36.84528731371397
